,reach_time,reach_label
0,14.711,f
1,32.655,f
2,42.082,f
3,42.718,f
4,50.958,r
5,53.474,f
6,54.719,f
7,55.383,f
8,55.788,f
9,57.26,f
10,58.26,r
11,62.387,f
12,62.965,f
13,64.111,r
14,70.942,r
15,77.294,f
16,77.84,r
17,78.877,r
18,80.16,r
19,81.473,f
20,82.164,f
21,83.054,r
22,87.903,s
23,93.567,f
24,94.042,f
25,94.689,r
26,100.837,f
27,101.711,r
28,102.704,r
29,111.962,f
30,112.742,r
31,118.758,f
32,127.66,f
33,128.541,r
34,129.396,r
35,134.4,s
36,138.618,r
37,139.764,r
38,140.528,r
39,142.385,f
40,142.96,f
41,143.816,r
42,145.012,r
43,149.907,f
44,150.44,r
45,151.57,r
46,152.573,r
47,170.386,f
48,171.026,r
49,176.764,f
50,177.22,r
51,179.808,r
52,192.836,s
53,197.232,r
54,198.342,f
55,198.911,f
56,199.796,r
