,reach_time,reach_label
0,12.325,s
1,16.568,r
2,17.55,f
3,18.912,r
4,20.41,r
5,22.1,f
6,22.92,r
7,24.699,r
8,27.4,r
9,29.754,f
10,30.431,r
11,31.39,r
12,32.692,r
13,37.731,f
14,38.258,r
15,42.86,r
16,45.714,s
17,56.45,r
18,76.803,f
19,77.86,r
20,86.2,f
21,86.75,r
22,91.13,f
23,91.649,r
24,97.563,f
25,98.1,r
26,106.739,f
27,107.292,r
28,116.412,f
29,121.49,r
30,122.236,r
31,124.775,f
32,125.375,r
33,134.324,f
34,134.859,r
35,142.37,f
36,143.0,r
37,150.0,f
38,159.435,f
39,160.04,r
40,165.02,f
41,165.633,r
42,174.018,s
43,177.129,r
44,179.23,s
45,183.719,f
46,185.755,r
47,192.041,s
48,197.214,f
49,198.66,r
50,201.286,f
51,203.34,r
52,204.15,r
53,206.253,s
54,209.36,r
55,213.027,f
56,213.895,r
57,217.676,r
58,218.325,f
59,218.982,r
60,223.198,s
61,226.56,r
62,230.524,s
63,233.61,r
64,234.286,r
65,235.838,f
66,236.316,f
67,237.091,r
68,250.448,f
69,251.206,r
70,253.05,r
